Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
542639,The Shock of the New,Robert Hughes,"Hughes, Robert",,"=""0500275823""","=""9780500275825""",0,Thames & Hudson,Paperback,448,1991,1980,,2023/10/29,to-read,to-read (#107),to-read,,,,0,0
60563720,America the Beautiful?: One Woman in a Borrowed Prius on the Road Most Traveled,Blythe Roberson,"Roberson, Blythe",,"=""0063115514""","=""9780063115514""",0,Harper Perennial,Paperback,304,2023,2023,,2023/09/16,to-read,to-read (#106),to-read,,,,0,0
122026350,Flatlands,Sue Hubbard,"Hubbard, Sue",,"=""1911590847""","=""9781911590842""",0,Pushkin Press,Paperback,272,2023,2023,,2023/09/16,to-read,to-read (#105),to-read,,,,0,0
18053732,Autopilot: The Art & Science of Doing Nothing,Andrew  Smart,"Smart, Andrew",,"=""1939293103""","=""9781939293107""",0,OR Books ,Paperback,148,2013,2013,,2020/07/22,to-read,to-read (#45),to-read,,,,0,0
61714633,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"Grann, David",,"=""0385534264""","=""9780385534260""",0,Doubleday,Hardcover,329,2023,2023,,2023/07/20,to-read,to-read (#104),to-read,,,,0,0
60784757,Birnam Wood,Eleanor Catton,"Catton, Eleanor",,"=""0374110336""","=""9780374110338""",0,"Farrar, Straus and Giroux",Hardcover,424,2023,2023,,2023/07/20,to-read,to-read (#103),to-read,,,,0,0
61812308,Small Mercies,Dennis Lehane,"Lehane, Dennis",,"=""0062129481""","=""9780062129482""",0,Harper,Hardcover,303,2023,2023,,2023/07/20,to-read,to-read (#102),to-read,,,,0,0
49556729,"Politics Is for Power: How to Move Beyond Political Hobbyism, Take Action, and Make Real Change",Eitan D. Hersh,"Hersh, Eitan D.",,"=""1982116781""","=""9781982116781""",0,Scribner,Hardcover,288,2020,2020,,2023/06/16,to-read,to-read (#101),to-read,,,,0,0
60460704,Lone Women,Victor LaValle,"LaValle, Victor",,"=""052551208X""","=""9780525512080""",0,One World,Hardcover,275,2023,2023,,2023/05/27,to-read,to-read (#100),to-read,,,,0,0
4119,"The Great Good Place: Cafés, Coffee Shops, Bookstores, Bars, Hair Salons and Other Hangouts at the Heart of a Community",Ray Oldenburg,"Oldenburg, Ray",,"=""1569246815""","=""9781569246818""",0,Da Capo Press,Paperback,384,1999,1989,,2023/04/22,to-read,to-read (#99),to-read,,,,0,0
