Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Shadowlands: A Journey Through Britain's Lost Cities and Vanished Villages,Matthew Green,,9780393635348,hardcover,to-read,2023/01/12,,,0,,,,,,,,,,,,,No
Cats' A. B. C,"Juliet Clutton-Brock, Beverley Nichols",,,,to-read,2021/10/17,,,0,,,,,,,,,,,,,No
Transcendent Kingdom,Yaa Gyasi,,9780385695183,paperback,to-read,2020/11/28,,,0,,,,,,,,,,,,,No
War Doctor: Surgery on the Front Line,David Nott,,9781509837021,hardcover,to-read,2025/08/01,,,0,,,,,,,,,,,,,No
We Made a Garden,Margery Fish,,9780375759475,paperback,to-read,2021/03/02,,,0,,,,,,,,,,,,,No
The Magpie Key,Sarah Painter,Kate Rawson (Narrator),9781004115358,audio,to-read,2025/07/29,,,0,,,,,,,,,,,,,No
Sharks in the Time of Saviors,Kawai Strong Washburn,,9780374272081,hardcover,to-read,2020/12/17,,,0,,,,,,,,,,,,,No
"Economics in Two Lessons: Why Markets Work So Well, and Why They Can Fail So Badly",John Quiggin,,9780691154947,hardcover,to-read,2020/04/20,,,0,,,,,,,,,,,,,No
The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Richard P. Feynman,,9780465023950,paperback,to-read,2016/04/04,,,0,,,,,,,,,,,,,No
The Nature of Technology: What It Is and How It Evolves,W. Brian Arthur,,9781416544050,hardcover,to-read,2016/10/06,,,0,,,,,,,,,,,,,No
The Drunken Botanist: The Plants That Create the World's Great Drinks: 10th Anniversary Edition,Amy Stewart,,9781616200466,hardcover,to-read,2022/12/10,,,0,,,,,,,,,,,,,No
Rhapsody in Green: the Garden Wit and Wisdom of Beverley Nichols,"Beverley Nichols, Roy C. Dicks",,9780881929485,hardcover,to-read,2021/10/17,,,0,,,,,,,,,,,,,No
You're Fifty-Now What?: Investing for the Second Half of Your Life,Charles Schwab,,9780609605622,hardcover,to-read,2020/01/16,,,0,,,,,,,,,,,,,No
At Night All Blood Is Black,David Diop,Anna Moschovakis (Translator),9780374266974,hardcover,to-read,2021/07/09,,,0,,,,,,,,,,,,,No
The Game of Kings,Dorothy Dunnett,,9780679777434,paperback,to-read,2016/04/04,,,0,,,,,,,,,,,,,No
Expats in Spain,Mark Shearman,,,,to-read,2020/01/28,,,0,,,,,,,,,,,,,No
Death of a Red Heroine,Qiu Xiaolong,,9781569472422,paperback,to-read,2016/04/04,,,0,,,,,,,,,,,,,No
I Am the Messenger,Markus Zusak,,9780375830990,hardcover,to-read,2016/04/04,,,0,,,,,,,,,,,,,No
