Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Trosečníci z Vlaštovky,Arthur Ransome,"Jan Cerny (Illustrator), Zora Wolfová (Translator), Soňa Nová (Translator)",9780879235727,hardcover,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
Alexander Hamilton,Ron Chernow,"",B0BPCLMCPP,digital,read,2019/03/24,"","",1,"",,,,,,,3.0,,"",,"",No
Ink and Bone,Rachel Caine,"",9780698180819,digital,to-read,2024/01/12,"","",0,"",,,,,,,,,"",,"",No
Sharpe's Eagle,Bernard Cornwell,"",9780451212573,paperback,read,2016/04/04,"","",1,"",,,,,,,1.0,,"",,"",No
The Heaven & Earth Grocery Store,James McBride,"",9780593422946,hardcover,read,2023/12/05,"","",1,"",,,,,,,,,"",,"",No
Prussian Blue,Philip Kerr,"",9780399177057,hardcover,to-read,2017/03/30,"","",0,"",,,,,,,,,"",,"",No
Black Powder War,Naomi Novik,"",9780345481306,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
Sunsets and Olives: How NOT to retire early in Southern Spain!,"John Austin Richards, John Austin Richards","",,,to-read,2021/06/19,"","",0,"",,,,,,,,,"",,"",No
The Song of the Dodo: Island Biogeography in an Age of Extinctions,David Quammen,"",9780684827124,paperback,read,2018/09/30,"","",1,"",,,,,,,,,"",,"",No
The King's Coat,Dewey Lambdin,"",9781590137567,paperback,read,2016/04/04,"","",1,"",,,,,,,1.0,,"",,"",No
Manhattan Beach,Jennifer Egan,"",9781476716732,hardcover,read,2017/10/26,"","",1,"",,,,,,,,,"",,"",No
Barcelona,Robert Hughes,"",9780679743835,paperback,read,2020/01/28,"","",1,"",,,,,,,,,"",,"",No
"Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness",Peter Godfrey-Smith,"",9780374227760,hardcover,to-read,2020/04/20,"","",0,"",,,,,,,,,"",,"",No
Blood Grove,Walter Mosley,"",9780316491181,hardcover,currently-reading,2025/12/12,"","",0,"",,,,,,,,,"",,"",No
America the Beautiful?: One Woman in a Borrowed Prius on the Road Most Traveled,Blythe Roberson,"",9780063115514,paperback,to-read,2023/09/16,"","",0,"",,,,,,,,,"",,"",No
The Poisonwood Bible,Barbara Kingsolver,"",9780060786502,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Tongues of Serpents,Naomi Novik,"",9780345496898,hardcover,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
An American Tragedy,Theodore Dreiser,Richard R. Lingeman,9780451527707,paperback,read,2018/09/26,"","",1,"",,,,,,,3.0,,"",,"",No
The Murmur of Bees,Sofía Segovia,Simon Bruni,9781542090490,digital,to-read,2021/06/18,"","",0,"",,,,,,,,,"",,"",No
My Year of Rest and Relaxation,Ottessa Moshfegh,"",9780525522133,paperback,to-read,2020/08/15,"","",0,"",,,,,,,,,"",,"",No
"Harbors and High Seas: An Atlas and Geographical Guide to the Complete Aubrey-Maturin Novels of Patrick O'Brian, Third Edition","John B. Hattendorf, Dean King","",9780805066142,paperback,read,2016/04/04,"","",1,"",,,,,,,1.0,,"",,"",No
Machinehood,S.B. Divya,"",9781982148065,hardcover,to-read,2021/05/04,"","",0,"",,,,,,,,,"",,"",No
Stumbling on Happiness,Daniel Gilbert,"",9781400077427,paperback,read,2020/01/13,"","",1,"",,,,,,,,,"",,"",No
Shug,Jenny Han,"",9781416909422,hardcover,read,2019/10/20,"","",1,"",,,,,,,1.0,,"",,"",No
"Winter War: Hoover, Roosevelt, and the First Clash Over the New Deal",Eric Rauchway,"",9780465094585,hardcover,to-read,2019/03/24,"","",0,"",,,,,,,,,"",,"",No
The Only Street in Paris: Life on the Rue Des Martyrs,Elaine Sciolino,"",9780393353402,paperback,read,2022/06/01,"","",1,"",,,,,,,,,"",,"",No
Rough Sleepers: Dr. Jim O'Connell's Urgent Mission to Bring Healing to Homeless People,Tracy Kidder,"",9781984801432,hardcover,read,2024/03/30,"","",1,"",,,,,,,,,"",,"",No
"No Picnic on Mount Kenya: A Daring Escape, A Perilous Climb",Felice Benuzzi,"",9781558218765,paperback,read,2018/12/22,"","",1,"",,,,,,,,,"",,"",No
"Lean in: Women, Work, and the Will to Lead",Sheryl Sandberg,"",9780385349949,hardcover,read,2016/02/29,"","",1,"",,,,,,,3.0,,"",,"",No
When You Are Engulfed in Flames,David Sedaris,"",9780316143479,hardcover,read,2025/12/12,"","",1,"",,,,,,,,,"",,"",No
The Eagle of the Ninth,Rosemary Sutcliff,"",9780192750457,paperback,read,2016/02/29,"","",1,"",,,,,,,3.0,,"",,"",No
Great Northern? A Scottish Adventure of Swallows & Amazons,Arthur Ransome,"",9781567922592,paperback,read,2016/02/29,"","",1,"",,,,,,,3.0,,"",,"",No
Bill Bryson's African Diary,Bill Bryson,"",9780767915069,hardcover,read,2016/02/29,"","",1,"",,,,,,,,,"",,"",No
The Truelove,Patrick O'Brian,"",9780393310160,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
The Covenant of Water,Abraham Verghese,"Arjaan van Nimwegen (Translator), Thijs van Nimwegen (Translator)",9780802162175,hardcover,read,2023/05/27,"","",1,"",,,,,,,,,"",,"",No
The Commodore,Patrick O'Brian,"",9780393314595,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Transcription,Kate Atkinson,"",9780316176668,paperback,read,2019/03/23,"","",1,"",,,,,,,2.0,,"",,"",No
The Grace of Kings,Ken Liu,"",9781481424271,hardcover,read,2016/10/06,"","",1,"",,,,,,,,,"",,"",No
Night Soldiers,Alan Furst,"",9780375760006,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Sex and Vanity,Kevin Kwan,"",9781786332271,hardcover,to-read,2020/05/27,"","",0,"",,,,,,,,,"",,"",No
High Output Management,Andrew S. Grove,"",9780679762881,paperback,to-read,2020/09/21,"","",0,"",,,,,,,,,"",,"",No
James Herriot's Cat Stories,James Herriot,Lesley Holmes (Illustrator),9781567315158,hardcover,to-read,2017/10/08,"","",0,"",,,,,,,,,"",,"",No
Dress Your Family in Corduroy and Denim,David Sedaris,"",9780965904834,paperback,read,2025/12/12,"","",1,"",,,,,,,,,"",,"",No
Bridge of Clay,Markus Zusak,"",9780385614290,hardcover,read,2018/09/26,"","",1,"",,,,,,,2.0,,"",,"",No
Mr. Midshipman Easy,Captain Frederick Marryat,"",9781404353879,paperback,read,2016/04/04,"","",1,"",,,,,,,4.0,,"",,"",No
The Fifth Risk,Michael Lewis,"",9780393357455,paperback,to-read,2019/12/07,"","",0,"",,,,,,,,,"",,"",No
Pigeon Post,Arthur Ransome,"",9780879238643,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
A Short History of Nearly Everything,Bill Bryson,"",9780767908184,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
William Shakespeare's Get Thee Back to the Future!,Ian Doescher,"",9781683690948,paperback,read,2019/03/27,"","",1,"",,,,,,,,,"",,"",No
The Correspondent,Virginia Evans,"","",hardcover,read,2026/01/03,"","",1,"",,,,,,,,,"",,"",No
Treason's Harbour,Patrick O'Brian,"",9780393308631,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
"The Wager: A Tale of Shipwreck, Mutiny, and Murder",David Grann,"",9780385534260,hardcover,to-read,2023/07/20,"","",0,"",,,,,,,,,"",,"",No
Say Goodbye for Now,Catherine Ryan Hyde,"",9781503994447,digital,to-read,2016/11/25,"","",0,"",,,,,,,,,"",,"",No
Native Son,Richard Wright,"","",digital,read,2018/09/26,"","",1,"",,,,,,,4.0,,"",,"",No
In Praise of Walking: A New Scientific Exploration,Shane O'Mara,"",9780393652086,hardcover,to-read,2020/01/11,"","",0,"",,,,,,,,,"",,"",No
A Most Peculiar Malaysian Murder,Shamini Flint,"",9780749929756,paperback,to-read,2016/04/04,"","",0,"",,,,,,,,,"",,"",No
A Spy Among Friends: Kim Philby and the Great Betrayal,Ben Macintyre,John le Carré (Contributor),9780804136631,hardcover,to-read,2020/10/10,"","",0,"",,,,,,,,,"",,"",No
"Valley of Genius: The Uncensored History of Silicon Valley (as Told by the Hackers, Founders, and Freaks Who Made It Boom)",Adam Fisher,"",9781455559022,hardcover,to-read,2018/08/04,"","",0,"",,,,,,,,,"",,"",No
The Great Good Place,Ray Oldenburg,"",9781569246818,paperback,to-read,2023/04/22,"","",0,"",,,,,,,,,"",,"",No
Thirty-Three Teeth,Colin Cotterill,"",9781569474297,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Beverley Nichols' Cats' X. Y. Z.,Beverley Nichols,"Derrick Sayer, Juliet Clutton-Brock",9780881925944,hardcover,to-read,2021/10/17,"","",0,"",,,,,,,,,"",,"",No
Captain Blood,Rafael Sabatini,"",9781406800166,paperback,read,2018/12/22,"","",1,"",,,,,,,4.0,,"",,"",No
"The Gift of a Garden, or Some Flowers Remembered",Beverley Nichols,"",9780491003582,hardcover,to-read,2021/10/17,"","",0,"",,,,,,,,,"",,"",No
Protea Book: A Guide to Cultivated Proteaceae,Lewis Matthews,"",9780881925531,paperback,to-read,2022/07/10,"","",0,"",,,,,,,,,"",,"",No
The Fortune of War,Patrick O'Brian,"",9780393308136,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
The Abominable,Dan Simmons,"",9780316198837,hardcover,read,2025/12/27,"","",2,"",,,,,,,,,"",,"",No
Peter Duck: A Treasure Hunt in the Caribbees,Arthur Ransome,"",9780879236601,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
Your Money or Your Life,"Joe Dominguez, Vicki Robin","",9780140286786,paperback,to-read,2021/06/15,"","",0,"",,,,,,,,,"",,"",No
Codename Villanelle,Luke Jennings,"",9780316512527,hardcover,read,2021/08/30,"","",1,"",,,,,,,,,"",,"",No
"Reading the Glass: A Captain's View of Weather, Water, and Life on Ships",Elliot Rappaport,"",9780593185056,hardcover,to-read,2024/04/22,"","",0,"",,,,,,,,,"",,"",No
The Adventures of Augie March,Saul Bellow,Christopher Hitchens (Contributor),9780143039570,paperback,read,2018/09/26,"","",1,"",,,,,,,4.0,,"",,"",No
Mexican Days: Journeys Into the Heart of Mexico,Tony Cohan,"",9780767920919,paperback,to-read,2022/12/22,"","",0,"",,,,,,,,,"",,"",No
Two Years Before the Mast: A Sailor's Life at Sea,Richard Henry Dana Jr.,"",9781402179624,paperback,read,2018/12/22,"","",1,"",,,,,,,5.0,,"",,"",No
The Swimmers,Julie Otsuka,"",9780593321331,hardcover,read,2022/05/03,"","",1,"",,,,,,,,,"",,"",No
Shadowlands: A Journey Through Britain's Lost Cities and Vanished Villages,Matthew Green,"",9780393635348,hardcover,to-read,2023/01/12,"","",0,"",,,,,,,,,"",,"",No
The Egg and I,Betty MacDonald,"",9780704102477,paperback,read,2022/10/03,"","",1,"",,,,,,,4.0,,"",,"",No
Demon Copperhead,Barbara Kingsolver,"",9780063251922,hardcover,read,2022/10/30,"","",1,"",,,,,,,,,"",,"",No
The Final Unfinished Voyage of Jack Aubrey,Patrick O'Brian,Richard Snow,9780393060256,hardcover,read,2016/02/29,"","",1,"",,,,,,,3.0,,"",,"",No
"My Sister, the Serial Killer",Oyinkan Braithwaite,"",9780385544238,hardcover,read,2019/12/24,"","",1,"",,,,,,,,,"",,"",No
Cats' A. B. C,"Juliet Clutton-Brock, Beverley Nichols","",,,to-read,2021/10/17,"","",0,"",,,,,,,,,"",,"",No
Desolation Island,Patrick O'Brian,"",9780393308129,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Transcendent Kingdom,Yaa Gyasi,"",9780385695183,paperback,to-read,2020/11/28,"","",0,"",,,,,,,,,"",,"",No
Seamanship: A Voyage Along the Wild Coasts of the British Isles,Adam Nicolson,"",9780060753443,paperback,read,2019/01/01,"","",1,"",,,,,,,,,"",,"",No
The Nutmeg of Consolation,Patrick O'Brian,"",9780393309065,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
William Shakespeare's The Jedi Doth Return,Ian Doescher,"",9781594747137,hardcover,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
All the Light We Cannot See,Anthony Doerr,"",9781476746586,hardcover,read,2016/02/29,"","",1,"",,,,,,,3.0,,"",,"",No
Mastering Running,Cathy Utzschneider,"",9781450459723,paperback,read,2020/02/16,"","",1,"",,,,,,,,,"",,"",No
War Doctor: Surgery on the Front Line,David Nott,"",9781509837021,hardcover,to-read,2025/08/01,"","",0,"",,,,,,,,,"",,"",No
Empire of Ivory,Naomi Novik,"",9780345496874,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
We Made a Garden,Margery Fish,"",9780375759475,paperback,to-read,2021/03/02,"","",0,"",,,,,,,,,"",,"",No
The Magpie Key,Sarah Painter,Kate Rawson (Narrator),9781004115358,audio,to-read,2025/07/29,"","",0,"",,,,,,,,,"",,"",No
Sharks in the Time of Saviors,Kawai Strong Washburn,"",9780374272081,hardcover,to-read,2020/12/17,"","",0,"",,,,,,,,,"",,"",No
Vulture Peak,John Burdett,"",9780307272676,hardcover,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
Lab Girl,Hope Jahren,"",9781101874936,hardcover,read,2016/04/08,"","",1,"",,,,,,,3.0,,"",,"",No
H.M.S. Surprise,Patrick O'Brian,"",9780393307610,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
Cape Horn to Starboard,John Kretschmer,"",9781580801621,paperback,read,2024/04/22,"","",1,"",,,,,,,,,"",,"",No
"Economics in Two Lessons: Why Markets Work So Well, and Why They Can Fail So Badly",John Quiggin,"",9780691154947,hardcover,to-read,2020/04/20,"","",0,"",,,,,,,,,"",,"",No
The Life and Times of the Thunderbolt Kid: A Memoir,Bill Bryson,"",9780767919364,hardcover,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
"Grandad, There's A Head On The Beach",Colin Cotterill,"",9780857387080,hardcover,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
Wolf Hall,Hilary Mantel,"","",digital,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Richard P. Feynman,"",9780465023950,paperback,to-read,2016/04/04,"","",0,"",,,,,,,,,"",,"",No
Pigeon English,Stephen Kelman,"",9780547500607,hardcover,read,2020/01/18,"","",1,"",,,,,,,,,"",,"",No
The Nature of Technology: What It Is and How It Evolves,W. Brian Arthur,"",9781416544050,hardcover,to-read,2016/10/06,"","",0,"",,,,,,,,,"",,"",No
The Drunken Botanist: The Plants That Create the World's Great Drinks: 10th Anniversary Edition,Amy Stewart,"",9781616200466,hardcover,to-read,2022/12/10,"","",0,"",,,,,,,,,"",,"",No
The Age of Reinvention,Karine Tuil,Sam Taylor (Translator),9781476776347,hardcover,read,2016/02/29,"","",1,"",,,,,,,1.0,,"",,"",No
Under Enemy Colors,Sean Thomas Russell,"",9780399154430,hardcover,read,2016/04/04,"","",1,"",,,,,,,1.0,,"",,"",No
Rhapsody in Green: the Garden Wit and Wisdom of Beverley Nichols,"Beverley Nichols, Roy C. Dicks","",9780881929485,hardcover,to-read,2021/10/17,"","",0,"",,,,,,,,,"",,"",No
His Majesty's Dragon,Naomi Novik,"",9780345481283,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
